release_year,sentiment
2010,Mostly Positive
2001,Overwhelmingly Positive
2010,Overwhelmingly Positive
2010,Mixed
2010,Mixed
2010,Mostly Positive
2010,Mostly Positive
2010,Mixed
2010,Very Positive
2010,Overwhelmingly Positive
2010,Very Positive
2010,Mostly Negative
2010,Mostly Negative
2010,Very Positive
2003,Mostly Positive
2001,Mostly Positive
2010,Mixed
2010,Positive
2009,Mostly Negative
2009,Mostly Positive
2008,Very Positive
2010,Mostly Positive
2010,Positive
2010,Mostly Negative
2010,Very Positive
2010,Mostly Positive
2010,Mostly Positive
2010,Very Positive
2010,Mostly Positive
2010,Positive
2010,Mostly Positive
2010,Very Positive
2010,Positive
2010,Overwhelmingly Positive
2010,Positive
2003,Mostly Positive
2010,Mixed
2010,Mostly Positive
2010,Mostly Negative
2008,Mostly Negative
2010,Mixed
2010,Very Positive
2010,Very Positive
2011,Very Positive
2010,Very Positive
2010,Mixed
2010,Mixed
2010,Mixed
2010,Very Positive
2010,Mostly Positive
2010,Very Positive
2010,Very Positive
2010,Mostly Positive
2010,Mostly Negative
2002,Very Positive
2010,Very Positive
2010,Very Positive
2010,Mixed
2010,Mostly Positive
2010,Overwhelmingly Positive
2010,Overwhelmingly Positive
2010,Overwhelmingly Positive
2010,Mostly Positive
2010,Mixed
2010,Mixed
2010,Very Positive
2010,Mixed
2010,Very Positive
2010,Positive
2010,Overwhelmingly Positive
2002,Overwhelmingly Positive
2010,Very Positive
2010,Very Positive
2010,Mostly Positive
2010,Very Positive
1999,Mostly Positive
2010,Mixed
2000,Mostly Positive
2010,Mostly Positive
2010,Very Positive
2010,Very Positive
2010,Very Positive
2010,Very Positive
2010,Mostly Positive
2010,Mixed
2010,Mixed
2010,Mostly Negative
2010,Overwhelmingly Positive
2010,Mostly Positive
2010,Positive
2010,Very Positive
2010,Very Positive
2010,Very Positive
2010,Positive
2010,Very Positive
2010,Mostly Positive
2010,Mixed
2010,Very Positive
2010,Mostly Positive
2010,Very Positive
2010,Mixed
2010,Mostly Positive
2010,Mostly Positive
2010,Mixed
2009,Very Positive
2010,Mixed
2007,Positive
2010,Very Positive
2010,Very Positive
2010,Mixed
2010,Mostly Positive
2010,Very Positive
2010,Mostly Positive
2010,Very Positive
2002,Very Positive
2005,Very Positive
2011,Mixed
2003,Very Positive
2011,Mostly Positive
2011,Mostly Positive
2011,Mostly Negative
2011,Very Positive
2011,Very Positive
2011,Mostly Positive
2011,Very Positive
2011,Mostly Positive
2011,Positive
2009,Very Positive
2010,Positive
2009,Positive
2010,Very Positive
2010,Positive
2010,Mostly Positive
2011,Mostly Positive
2011,Mostly Positive
2011,Mixed
2011,Mixed
2011,Very Positive
2011,Mixed
2011,Mixed
2011,Mostly Positive
2011,Mostly Positive
2011,Very Positive
2011,Mixed
2011,Very Positive
2011,Mostly Positive
2013,Mostly Positive
2011,Very Positive
2011,Mixed
2011,Mostly Negative
2011,Mostly Positive
2011,Positive
2011,Very Positive
2010,Mixed
2011,Very Positive
2011,Very Positive
2011,Mixed
2011,Overwhelmingly Positive
2011,Very Positive
2011,Very Positive
2011,Mostly Positive
2011,Positive
2011,Very Positive
2011,Mixed
2011,Mostly Positive
2011,Positive
2011,Positive
2009,Mixed
2005,Very Positive
2011,Mostly Positive
2011,Mixed
2011,Mixed
2011,Mixed
2009,Mostly Positive
2011,Very Positive
2011,Mixed
2011,Very Positive
2011,Very Positive
2011,Mostly Positive
2011,Very Positive
2011,Very Positive
2011,Mixed
2011,Positive
2011,Mostly Positive
2011,Mostly Positive
2011,Mostly Positive
2011,Mostly Positive
2011,Mostly Negative
2011,Positive
2011,Very Positive
2011,Positive
2011,Mostly Positive
2011,Very Positive
2011,Mixed
2011,Mostly Positive
2011,Positive
2011,Mostly Positive
2011,Mixed
2010,Mostly Positive
2011,Very Positive
2011,Positive
2011,Very Positive
2011,Positive
2010,Mixed
2011,Mixed
2011,Very Positive
2011,Mixed
2011,Positive
2011,Mostly Negative
2011,Very Positive
2011,Very Positive
2011,Very Positive
2011,Mostly Positive
2011,Very Positive
2011,Mixed
2012,Very Positive
2011,Mixed
2011,Very Positive
2011,Very Positive
2011,Mixed
2011,Mixed
2011,Mixed
2010,Mostly Positive
2011,Very Positive
2011,Mixed
2011,Mostly Positive
2011,Mixed
2011,Overwhelmingly Positive
2011,Overwhelmingly Positive
2011,Mixed
2007,Very Positive
2011,Very Positive
2011,Positive
2011,Positive
2011,Mixed
2011,Mostly Positive
2011,Mostly Negative
2011,Mixed
2011,Mixed
2011,Overwhelmingly Positive
2011,Very Positive
2011,Mixed
2011,Very Positive
2011,Mostly Positive
2011,Very Negative
2011,Mostly Negative
2011,Very Positive
2011,Positive
2011,Positive
2011,Very Positive
2011,Mostly Positive
2011,Positive
2011,Very Positive
2011,Positive
2011,Positive
2011,Very Positive
2011,Very Positive
2011,Very Positive
2011,Positive
2011,Positive
2011,Mostly Positive
2011,Very Positive
2011,Positive
2011,Positive
2011,Mostly Negative
2010,Mixed
2011,Mostly Positive
2011,Mostly Positive
2011,Mixed
2012,Very Positive
2011,Overwhelmingly Negative
2011,Mixed
2011,Positive
2011,Very Positive
2011,Positive
2011,Mostly Positive
2011,Very Positive
2013,Overwhelmingly Positive
2011,Very Positive
2011,Very Positive
2011,Mixed
2011,Mixed
2011,Positive
2011,Mixed
2012,Mixed
2012,Positive
2012,Mixed
2005,Very Positive
2012,Very Positive
2010,Mostly Positive
2012,Positive
2012,Mostly Positive
2012,Mixed
2012,Very Positive
2012,Positive
2012,Very Positive
2012,Very Positive
2012,Very Positive
2012,Mostly Negative
2012,Mostly Negative
2012,Very Positive
2012,Mostly Positive
2012,Positive
2012,Very Positive
2010,Mostly Negative
2011,Mostly Negative
2012,Mostly Negative
2012,Very Positive
2012,Very Positive
2012,Mostly Positive
2012,Mostly Positive
2012,Mixed
2012,Very Positive
2012,Mixed
2012,Positive
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Very Positive
2012,Very Positive
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Mostly Negative
2012,Positive
2012,Mostly Positive
2012,Mostly Negative
2012,Mostly Negative
2012,Mixed
2012,Mostly Positive
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Mixed
2012,Mixed
2012,Mostly Positive
2012,Positive
2012,Very Positive
2012,Very Positive
2012,Mixed
2012,Positive
2012,Positive
2012,Very Positive
2012,Mostly Negative
2012,Positive
2012,Mixed
2012,Mixed
2012,Very Positive
2012,Mostly Negative
2012,Positive
2012,Mixed
2012,Positive
2012,Mixed
2014,Very Positive
2012,Mixed
2012,Mostly Positive
2012,Mostly Positive
2012,Positive
2012,Very Positive
2012,Very Positive
2012,Very Positive
2012,Positive
2012,Mixed
2012,Mostly Positive
2012,Positive
2012,Mostly Positive
2012,Mostly Positive
2012,Mixed
2012,Mostly Positive
2012,Mixed
2012,Very Positive
2012,Mixed
2012,Positive
2012,Overwhelmingly Positive
2012,Very Positive
2012,Very Positive
2012,Mixed
2012,Positive
2012,Positive
2012,Very Positive
2012,Very Positive
2012,Overwhelmingly Positive
2012,Mixed
2012,Very Positive
2012,Mostly Positive
2012,Positive
2012,Very Positive
2012,Very Positive
2012,Mostly Positive
2012,Mixed
2012,Mostly Positive
2012,Very Positive
2012,Mostly Positive
2012,Very Positive
2002,Very Positive
2012,Mixed
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Mixed
2012,Mixed
2012,Mixed
2012,Very Positive
2012,Mostly Positive
2012,Very Positive
2012,Very Positive
2012,Mostly Positive
2012,Mixed
2012,Mostly Positive
2012,Positive
2012,Mostly Positive
2012,Positive
2012,Very Positive
2012,Positive
2012,Mostly Positive
2012,Very Positive
9999,Very Positive
2005,Very Positive
2010,Very Positive
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Overwhelmingly Positive
2011,Overwhelmingly Positive
2012,Very Positive
2012,Very Positive
2012,Mostly Positive
2012,Very Positive
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Very Positive
2012,Very Positive
2012,Mixed
2012,Very Positive
2012,Very Positive
2012,Very Positive
2012,Mostly Positive
2012,Very Positive
2012,Positive
2012,Mixed
2012,Mostly Positive
2012,Overwhelmingly Positive
2012,Mixed
2012,Mixed
2012,Very Positive
2006,Very Positive
2004,Mixed
2012,Very Positive
2003,Overwhelmingly Positive
2012,Mostly Positive
2012,Very Positive
2012,Very Negative
2012,Positive
2012,Very Positive
2012,Very Positive
2012,Mostly Positive
2012,Mixed
2012,Very Positive
2004,Mostly Positive
2012,Positive
2012,Positive
2012,Positive
2012,Positive
2012,Mostly Positive
2012,Positive
2012,Very Positive
2012,Mixed
2012,Very Positive
2012,Mixed
2012,Mostly Positive
2012,Mixed
2012,Very Positive
2005,Very Positive
2012,Very Positive
2012,Overwhelmingly Positive
2012,Mostly Positive
2012,Very Positive
2003,Very Positive
2012,Mostly Positive
2001,Mostly Positive
2012,Positive
2012,Mixed
2012,Mixed
2012,Mostly Positive
2012,Very Positive
2011,Positive
2012,Very Positive
2012,Positive
2012,Mostly Positive
2012,Mixed
2013,Mostly Positive
2013,Mixed
2013,Positive
2013,Very Positive
2013,Positive
2013,Positive
2013,Positive
2013,Positive
2013,Positive
2013,Positive
2013,Very Positive
2013,Very Positive
2013,Mixed
2013,Very Positive
2013,Very Positive
2013,Mostly Positive
9999,Very Positive
2013,Mixed
2013,Mixed
2013,Overwhelmingly Positive
2013,Mixed
2013,Mixed
2013,Mixed
2013,Mixed
2013,Positive
2013,Mostly Positive
2013,Mixed
2013,Very Positive
2013,Mostly Positive
2013,Mostly Positive
2013,Mixed
2013,Very Positive
2013,Positive
2013,Mostly Positive
1997,Very Positive
2013,Mostly Positive
2013,Positive
2013,Positive
2013,Very Positive
2013,Mostly Positive
2013,Mixed
2013,Mixed
2013,Mixed
2013,Mixed
2013,Mixed
2013,Mostly Positive
2013,Mixed
2013,Mixed
2013,Very Positive
2013,Very Positive
2013,Mixed
2013,Very Positive
2013,Mostly Positive
2013,Positive
2013,Positive
2013,Positive
2013,Overwhelmingly Positive
2013,Very Positive
2013,Very Positive
2013,Mostly Positive
2013,Mixed
2013,Mostly Positive
2013,Very Positive
2013,Mixed
2013,Very Positive
2013,Very Positive
2013,Mixed
2017,Mixed
2013,Mostly Positive
2013,Very Positive
2013,Positive
2013,Mixed
2013,Positive
2013,Very Positive
2013,Very Positive
1983,Very Positive
2013,Mixed
2013,Positive
2013,Very Positive
2013,Mixed
2013,Mostly Positive
2013,Mostly Positive
2013,Mixed
2013,Positive
2013,Mixed
2013,Positive
2013,Very Positive
2013,Mixed
2013,Mixed
2013,Mixed
2013,Mixed
2013,Positive
2013,Positive
2013,Positive
2013,Mostly Negative
2013,Very Positive
2013,Mixed
2013,Mostly Positive
2013,Positive
2013,Positive
2013,Mostly Positive
2013,Mostly Positive
2013,Very Positive
2013,Very Positive
2013,Mixed
2013,Positive
2013,Mixed
2013,Very Positive
2013,Mostly Positive
2013,Mixed
2013,Positive
2013,Mostly Positive
2013,Positive
2013,Mostly Positive
2013,Positive
2013,Positive
2013,Positive
2013,Positive
2013,Very Positive
2013,Positive
2013,Very Positive
2013,Mostly Positive
2013,Positive
2013,Positive
2013,Positive
2013,Very Positive
2013,Mixed
2013,Mostly Positive
1997,Very Positive
2013,Very Positive
9999,Very Positive
2013,Positive
2013,Overwhelmingly Positive
2013,Positive
2013,Very Positive
2013,Mixed
2013,Mixed
2013,Mostly Positive
2013,Very Positive
2013,Very Positive
2013,Positive
2013,Very Positive
2013,Very Negative
2013,Positive
2013,Very Positive
2013,Mixed
2013,Mixed
2013,Very Positive
2013,Mostly Positive
2013,Very Positive
2013,Mixed
2013,Mostly Positive
2013,Mostly Positive
2013,Mixed
2013,Very Positive
2013,Very Positive
9999,Mostly Positive
2011,Positive
2010,Very Positive
2012,Positive
2012,Mixed
2013,Mostly Positive
2013,Mostly Positive
2013,Positive
2013,Very Positive
2012,Mixed
2013,Mixed
2013,Mostly Negative
2013,Very Positive
2013,Very Positive
2013,Mixed
2013,Positive
2013,Mostly Positive
9999,Very Positive
2013,Mostly Positive
2013,Positive
2013,Mostly Positive
2013,Very Positive
2013,Mostly Positive
2013,Mostly Positive
2013,Mixed
2013,Very Positive
2013,Positive
2013,Positive
2013,Mostly Positive
1984,Very Positive
2015,Overwhelmingly Positive
2013,Very Positive
2013,Very Positive
2013,Positive
2013,Mixed
2013,Very Positive
2015,Mostly Positive
2013,Overwhelmingly Positive
2013,Mostly Negative
2013,Very Positive
2013,Very Positive
2013,Positive
2013,Positive
2013,Positive
2013,Very Positive
2013,Overwhelmingly Positive
2013,Mixed
2013,Very Positive
2013,Positive
2013,Mixed
2013,Positive
2013,Mostly Positive
2008,Mixed
2013,Mostly Positive
2013,Mostly Positive
2013,Positive
2013,Very Positive
2013,Very Positive
2013,Positive
2013,Mixed
2013,Very Positive
2013,Mixed
2012,Mixed
2013,Very Positive
2013,Very Positive
2013,Mixed
2013,Mixed
2013,Very Positive
2013,Mixed
2013,Overwhelmingly Positive
2002,Mostly Positive
2013,Mostly Negative
2013,Mixed
2013,Very Positive
2013,Mostly Positive
2013,Positive
2013,Mostly Negative
2013,Positive
2012,Very Positive
2013,Positive
2013,Positive
2013,Very Positive
2013,Positive
2001,Very Positive
2013,Mostly Positive
2013,Very Positive
2013,Positive
2013,Very Positive
2013,Overwhelmingly Positive
2013,Mostly Negative
2013,Very Positive
2013,Mixed
2013,Mostly Positive
2013,Mostly Negative
2013,Overwhelmingly Positive
2001,Mostly Positive
2013,Mostly Negative
2013,Mixed
2013,Mostly Negative
2013,Mixed
1996,Very Positive
2013,Overwhelmingly Positive
2013,Very Positive
2013,Mixed
2013,Very Positive
2013,Very Positive
2013,Very Positive
2013,Mostly Positive
2014,Mixed
2013,Very Positive
2013,Positive
2013,Mostly Positive
2013,Mixed
2013,Mixed
2008,Mixed
2013,Very Positive
2013,Mixed
2013,Positive
2013,Very Positive
1997,Mostly Positive
2003,Mostly Negative
1996,Mostly Positive
1997,Positive
1998,Positive
1997,Positive
1995,Mostly Positive
1996,Mostly Positive
2013,Mixed
2013,Mixed
2013,Very Positive
1998,Mostly Positive
2013,Very Positive
2013,Very Positive
2013,Very Positive
2013,Very Negative
2013,Very Positive
2013,Overwhelmingly Positive
2013,Very Positive
2013,Mixed
2013,Positive
2013,Mostly Positive
2013,Positive
2013,Very Positive
2013,Very Positive
2013,Mostly Positive
2013,Positive
2013,Mostly Negative
2013,Mixed
2013,Very Positive
2013,Very Negative
2013,Mostly Positive
2013,Mixed
2013,Mostly Positive
2013,Mixed
2013,Very Positive
2013,Very Positive
2013,Mixed
2013,Mixed
2013,Mostly Positive
2013,Very Positive
2013,Very Positive
2013,Mostly Positive
2013,Mixed
2013,Mixed
2013,Mixed
2013,Mixed
2013,Positive
2013,Very Positive
2013,Very Positive
2001,Mixed
2013,Mostly Positive
2013,Mixed
2013,Very Positive
2013,Very Positive
1997,Very Positive
2013,Mixed
2012,Mostly Negative
2013,Very Positive
2004,Mostly Positive
2002,Mostly Positive
2013,Very Positive
2013,Mixed
2013,Mixed
2013,Mixed
2014,Very Positive
2013,Mixed
2012,Very Positive
2013,Very Positive
2013,Very Positive
2013,Very Positive
2013,Mostly Positive
2013,Very Positive
2013,Mixed
2013,Mixed
2013,Very Positive
2014,Mostly Positive
2013,Mixed
2013,Very Positive
2013,Positive
2005,Very Positive
2013,Very Positive
2013,Negative
2012,Overwhelmingly Positive
2013,Positive
2006,Very Positive
2013,Positive
2013,Very Positive
2013,Positive
2013,Mostly Negative
2013,Overwhelmingly Negative
2013,Mostly Negative
2013,Very Positive
2013,Very Positive
2013,Very Positive
2005,Mixed
2014,Mostly Positive
2014,Very Positive
2014,Mostly Negative
2014,Positive
2014,Positive
2014,Mixed
2014,Mostly Positive
2014,Positive
2006,Mixed
2003,Mostly Positive
2014,Mixed
2014,Mixed
2014,Very Positive
2013,Very Positive
2014,Very Positive
2014,Mixed
2013,Very Positive
2014,Very Positive
2014,Very Positive
2014,Mixed
2014,Very Positive
2014,Very Positive
2013,Very Positive
2014,Mostly Positive
2014,Mixed
2001,Very Positive
2014,Very Positive
2014,Mostly Positive
2014,Mixed
2014,Very Positive
2014,Very Positive
2010,Very Positive
2013,Very Positive
2014,Mostly Positive
2014,Very Positive
2014,Very Positive
2014,Mixed
2014,Mixed
2014,Very Positive
2014,Positive
2014,Mixed
2014,Mixed
2013,Very Positive
2014,Mostly Positive
2014,Mostly Positive
2014,Positive
2014,Very Positive
2014,Mostly Positive
2014,Very Positive
2014,Very Positive
2014,Overwhelmingly Positive
2014,Positive
2014,Positive
2014,Overwhelmingly Positive
2014,Very Positive
2012,Mostly Positive
2014,Positive
2014,Positive
2013,Very Positive
2014,Mixed
2014,Mostly Positive
2014,Overwhelmingly Positive
2014,Mixed
2014,Mostly Positive
2014,Very Positive
2014,Very Positive
2014,Mixed
2014,Very Negative
2014,Negative
2014,Very Positive
2014,Very Positive
2014,Mostly Positive
2014,Very Positive
2014,Mostly Negative
2014,Positive
2014,Very Positive
2014,Overwhelmingly Positive
2014,Mostly Positive
2014,Mostly Negative
2014,Very Positive
2014,Mostly Negative
2014,Very Positive
2014,Very Positive
2014,Mixed
2014,Very Positive
2014,Mostly Positive
2014,Very Positive
2008,Mixed
2014,Positive
2014,Positive
2014,Positive
2014,Mostly Positive
2014,Mostly Positive
2014,Mixed
2014,Mostly Positive
2014,Mixed
2014,Mixed
2011,Very Positive
2012,Very Positive
2004,Mixed
2007,Mixed
2010,Positive
2004,Very Positive
2009,Mixed
2006,Mixed
2014,Mostly Positive
2014,Very Positive
2009,Mixed
2013,Very Positive
2014,Very Positive
1996,Very Positive
2014,Positive
2014,Very Positive
2013,Mostly Positive
2014,Mostly Positive
2014,Mixed
2014,Very Positive
2014,Positive
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mostly Positive
2014,Mostly Positive
1996,Positive
1996,Positive
1992,Very Positive
2014,Very Positive
2014,Mostly Positive
1996,Very Positive
2014,Very Positive
1994,Very Positive
2014,Mixed
2014,Mostly Positive
2014,Mixed
2014,Very Positive
2014,Mostly Negative
2014,Mostly Negative
2012,Mixed
2014,Mixed
2003,Mostly Positive
2004,Very Positive
2006,Mixed
2003,Mostly Positive
2007,Very Positive
1994,Very Positive
2014,Mostly Positive
2010,Mostly Negative
2014,Very Positive
2002,Mixed
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mixed
2004,Mostly Positive
1998,Very Positive
1996,Very Positive
2005,Very Positive
2013,Very Positive
2014,Mostly Positive
2014,Mixed
2006,Mostly Positive
2007,Very Positive
2000,Mixed
2014,Mixed
2014,Very Positive
2014,Positive
2014,Mostly Positive
2014,Positive
2014,Mixed
2014,Mixed
2014,Very Positive
2014,Mixed
2014,Mostly Positive
2014,Positive
2014,Mixed
2014,Very Positive
2012,Very Positive
2013,Very Positive
2014,Overwhelmingly Positive
2014,Mostly Negative
2003,Very Positive
2014,Mostly Positive
2014,Mostly Positive
2013,Positive
2014,Mostly Positive
2014,Positive
2014,Very Positive
2014,Mixed
2014,Very Positive
2014,Mostly Positive
2014,Very Positive
2014,Mixed
2014,Mostly Positive
2014,Mixed
2014,Positive
2010,Positive
2014,Mostly Positive
2014,Very Positive
2014,Positive
2014,Mixed
2014,Mostly Positive
2013,Very Positive
2014,Positive
2014,Overwhelmingly Positive
2008,Positive
2014,Very Positive
2014,Very Positive
2014,Mostly Negative
2014,Very Positive
2014,Mostly Negative
2010,Mixed
1994,Positive
1997,Very Positive
2014,Mostly Negative
2001,Very Positive
2000,Very Positive
1998,Very Positive
2014,Very Positive
2013,Very Positive
2014,Mostly Positive
2014,Mixed
2014,Mixed
2010,Mixed
2014,Very Positive
2014,Mostly Positive
2014,Very Positive
2006,Very Positive
2014,Mixed
2014,Positive
2014,Mixed
2014,Mostly Negative
2014,Very Positive
2014,Mixed
2014,Mixed
2014,Mixed
2014,Positive
2006,Mostly Positive
2014,Mixed
2007,Very Positive
2014,Mostly Positive
2014,Mostly Positive
2014,Very Positive
2013,Positive
2014,Very Positive
2013,Mostly Positive
2013,Mixed
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mostly Positive
2014,Very Positive
2014,Very Positive
2012,Very Positive
2014,Positive
2014,Very Positive
2014,Very Positive
2014,Mostly Positive
2000,Mostly Positive
2011,Mixed
2014,Very Positive
2014,Very Positive
2014,Very Positive
2003,Mixed
2014,Mostly Positive
2014,Very Positive
2014,Mixed
2014,Mixed
2014,Mostly Negative
2014,Mostly Positive
2014,Positive
2013,Very Positive
2013,Mostly Positive
2013,Mixed
2014,Mostly Positive
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mostly Positive
2014,Very Positive
2014,Mixed
2014,Very Positive
2014,Very Positive
2014,Mostly Positive
2013,Mixed
2014,Very Positive
2014,Very Positive
2012,Mostly Positive
2014,Mixed
2013,Mostly Positive
2014,Mixed
2014,Very Positive
2014,Mostly Positive
2014,Mixed
2014,Very Positive
2014,Mixed
2014,Very Positive
2011,Mostly Positive
2014,Mostly Positive
2014,Very Positive
2003,Very Positive
2014,Mixed
2014,Mostly Positive
2013,Very Positive
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mixed
2014,Very Positive
2014,Mixed
2014,Positive
2014,Mostly Positive
2014,Positive
2014,Mostly Positive
2014,Mostly Positive
2014,Very Positive
2014,Mostly Positive
2014,Very Positive
2014,Very Positive
2014,Mostly Positive
2014,Very Positive
2014,Positive
2014,Very Positive
2014,Positive
2014,Mostly Positive
2014,Mixed
2014,Very Positive
2014,Mostly Positive
2013,Mostly Positive
2014,Very Positive
2012,Very Positive
2013,Positive
2014,Mixed
2000,Mixed
2013,Mixed
2014,Positive
2001,Mostly Negative
2014,Mostly Positive
2014,Mixed
2014,Very Positive
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mixed
2014,Mostly Positive
2016,Very Positive
2014,Mostly Positive
2014,Very Positive
2014,Mixed
2014,Mixed
2006,Mixed
2014,Mixed
2014,Positive
2007,Mostly Positive
2013,Mixed
